district,person_id,councildist,last_name,first_name,photo_url,facebook_url,twitter_url,twitter_handle,instagram_url,instagram_handle,party,title,gender,city_council_url,city_council_committees_url,city_council_legislation_url,city_council_council_calendar_url
1,7562,NYCC01,Chin,Margaret,https://raw.githubusercontent.com/NewYorkCityCouncil/districts/master/thumbnails/district-1.jpg,https://www.facebook.com/councilmembermargaret.chin,https://twitter.com/CM_MargaretChin,CM_MargaretChin,https://www.instagram.com/teammargaretchin/,teammargaretchin,democrat,council-member,female,https://council.nyc.gov/district-1,http://legistar.council.nyc.gov/Departments.aspx,http://legistar.council.nyc.gov/Legislation.aspx,https://legistar.council.nyc.gov/Calendar.aspx
2,7740,NYCC02,Rivera,Carlina,https://raw.githubusercontent.com/NewYorkCityCouncil/districts/master/thumbnails/district-2.jpg,https://www.facebook.com/carlinalrivera,https://twitter.com/CarlinaRivera,CarlinaRivera,https://www.instagram.com/carlinalrivera/,carlinalrivera,democrat,council-member,female,https://council.nyc.gov/district-2,http://legistar.council.nyc.gov/Departments.aspx,http://legistar.council.nyc.gov/Legislation.aspx,https://legistar.council.nyc.gov/Calendar.aspx
3,7631,NYCC03,Johnson,Corey,https://raw.githubusercontent.com/NewYorkCityCouncil/districts/master/thumbnails/district-3.jpg,https://www.facebook.com/corey.d.johnson,https://twitter.com/CoreyinNYC,CoreyinNYC,https://www.instagram.com/speakercoreyjohnson/,speakercoreyjohnson,democrat,speaker,male,https://council.nyc.gov/district-3,http://legistar.council.nyc.gov/Departments.aspx,http://legistar.council.nyc.gov/Legislation.aspx,https://legistar.council.nyc.gov/Calendar.aspx
4,7741,NYCC04,Powers,Keith,https://raw.githubusercontent.com/NewYorkCityCouncil/districts/master/thumbnails/district-4.jpg,https://www.facebook.com/keithdynamite,https://twitter.com/KeithPowersNYC,KeithPowersNYC,https://www.instagram.com/keithpowersnyc/,keithpowersnyc,democrat,council-member,male,https://council.nyc.gov/district-4,http://legistar.council.nyc.gov/Departments.aspx,http://legistar.council.nyc.gov/Legislation.aspx,https://legistar.council.nyc.gov/Calendar.aspx
5,7632,NYCC05,Kallos,Ben,https://raw.githubusercontent.com/NewYorkCityCouncil/districts/master/thumbnails/district-5.jpg,https://www.facebook.com/benkallos,https://twitter.com/kallos,kallos,https://www.instagram.com/benkallos/,benkallos,democrat,council-member,male,https://council.nyc.gov/district-5,http://legistar.council.nyc.gov/Departments.aspx,http://legistar.council.nyc.gov/Legislation.aspx,https://legistar.council.nyc.gov/Calendar.aspx
6,7639,NYCC06,Rosenthal,Helen,https://raw.githubusercontent.com/NewYorkCityCouncil/districts/master/thumbnails/district-6.jpg,https://www.facebook.com/CouncilMemberHelenRosenthal,https://twitter.com/HelenRosenthal,HelenRosenthal,https://www.instagram.com/helenrosenthal/,helenrosenthal,democrat,council-member,female,https://council.nyc.gov/district-6,http://legistar.council.nyc.gov/Departments.aspx,http://legistar.council.nyc.gov/Legislation.aspx,https://legistar.council.nyc.gov/Calendar.aspx
7,7634,NYCC07,Levine,Mark,https://raw.githubusercontent.com/NewYorkCityCouncil/districts/master/thumbnails/district-7.jpg,https://www.facebook.com/markdlevine,https://twitter.com/MarkLevineNYC,MarkLevineNYC,https://www.instagram.com/marklevinenyc/,marklevinenyc,democrat,council-member,male,https://council.nyc.gov/district-7,http://legistar.council.nyc.gov/Departments.aspx,http://legistar.council.nyc.gov/Legislation.aspx,https://legistar.council.nyc.gov/Calendar.aspx
8,7742,NYCC08,Ayala,Diana,https://raw.githubusercontent.com/NewYorkCityCouncil/districts/master/thumbnails/district-8.jpg,https://www.facebook.com/diana.ayala.161,https://twitter.com/DianaAyalaNYC,DianaAyalaNYC,https://www.instagram.com/diana.ayala.161/,diana.ayala.161,democrat,council-member,female,https://council.nyc.gov/district-8,http://legistar.council.nyc.gov/Departments.aspx,http://legistar.council.nyc.gov/Legislation.aspx,https://legistar.council.nyc.gov/Calendar.aspx
9,430,NYCC09,Perkins,Bill,https://raw.githubusercontent.com/NewYorkCityCouncil/districts/master/thumbnails/district-9.jpg,https://www.facebook.com/profile.php?id=100018744134062,,,https://www.instagram.com/billperkinsd09/,billperkinsd09,democrat,council-member,male,https://council.nyc.gov/district-9,http://legistar.council.nyc.gov/Departments.aspx,http://legistar.council.nyc.gov/Legislation.aspx,https://legistar.council.nyc.gov/Calendar.aspx
10,7541,NYCC10,Rodriguez,Ydanis,https://raw.githubusercontent.com/NewYorkCityCouncil/districts/master/thumbnails/district-10.jpg,https://www.facebook.com/ydanis.rodriguez.1,https://twitter.com/ydanis,ydanis,https://www.instagram.com/ydanis_rodriguez/,ydanis_rodriguez,democrat,council-member,male,https://council.nyc.gov/district-10,http://legistar.council.nyc.gov/Departments.aspx,http://legistar.council.nyc.gov/Legislation.aspx,https://legistar.council.nyc.gov/Calendar.aspx
11,7624,NYCC11,Cohen,Andrew,https://raw.githubusercontent.com/NewYorkCityCouncil/districts/master/thumbnails/district-11.jpg,https://www.facebook.com/Council-Member-Andrew-Cohen-402337503202703,https://twitter.com/AndrewCohenNYC,AndrewCohenNYC,https://www.instagram.com/andrewcohennyc/,andrewcohennyc,democrat,council-member,male,https://council.nyc.gov/district-11,http://legistar.council.nyc.gov/Departments.aspx,http://legistar.council.nyc.gov/Legislation.aspx,https://legistar.council.nyc.gov/Calendar.aspx
12,7613,NYCC12,King,Andy,https://raw.githubusercontent.com/NewYorkCityCouncil/districts/master/thumbnails/district-12.jpg,https://www.facebook.com/New-York-City-Council-Member-Andy-L-King-116867358490208,https://twitter.com/AndyKingNYC,AndyKingNYC,https://www.instagram.com/andykingnyc/,andykingnyc,democrat,council-member,male,https://council.nyc.gov/district-12,http://legistar.council.nyc.gov/Departments.aspx,http://legistar.council.nyc.gov/Legislation.aspx,https://legistar.council.nyc.gov/Calendar.aspx
13,7743,NYCC13,Gjonaj,Mark,https://raw.githubusercontent.com/NewYorkCityCouncil/districts/master/thumbnails/district-13.jpg,https://www.facebook.com/MarkGjonajNY/,https://twitter.com/MarkGjonajNY,MarkGjonajNY,https://www.instagram.com/markgjonajny/,markgjonajny,democrat,council-member,male,https://council.nyc.gov/district-13,http://legistar.council.nyc.gov/Departments.aspx,http://legistar.council.nyc.gov/Legislation.aspx,https://legistar.council.nyc.gov/Calendar.aspx
14,7561,NYCC14,Cabrera,Fernando,https://raw.githubusercontent.com/NewYorkCityCouncil/districts/master/thumbnails/district-14.jpg,https://www.facebook.com/councilmembercabrera,https://twitter.com/FCabreraNY,FCabreraNY,https://www.instagram.com/councilman.cabrera/,councilman.cabrera,democrat,council-member,male,https://council.nyc.gov/district-14,http://legistar.council.nyc.gov/Departments.aspx,http://legistar.council.nyc.gov/Legislation.aspx,https://legistar.council.nyc.gov/Calendar.aspx
15,7640,NYCC15,Torres,Ritchie,https://raw.githubusercontent.com/NewYorkCityCouncil/districts/master/thumbnails/district-15.jpg,https://www.facebook.com/RitchieTorresNYC,https://twitter.com/ritchietorres,ritchietorres,https://www.instagram.com/ritchietorrescd15/,ritchietorrescd15,democrat,council-member,male,https://council.nyc.gov/district-15,http://legistar.council.nyc.gov/Departments.aspx,http://legistar.council.nyc.gov/Legislation.aspx,https://legistar.council.nyc.gov/Calendar.aspx
16,7622,NYCC16,Gibson,Vanessa,https://raw.githubusercontent.com/NewYorkCityCouncil/districts/master/thumbnails/district-16.jpg,https://www.facebook.com/VanessaGibsonNYC,https://twitter.com/Vanessalgibson,Vanessalgibson,https://www.instagram.com/msvanessa77/,msvanessa77,democrat,council-member,female,https://council.nyc.gov/district-16,http://legistar.council.nyc.gov/Departments.aspx,http://legistar.council.nyc.gov/Legislation.aspx,https://legistar.council.nyc.gov/Calendar.aspx
